onlineclient_id,onlineclient_username,onlineclient_password,onlineclient_phone,onlineclient_address
1,dvido0,uxzfyxx,276-342-9245,Altyn aul
2,askone1,gqMWfZ0oJ,115-157-0241,Sdu
3,gcornilli2,V5r0AfN,321-609-9164,Kbtu
4,biacabucci3,39TI0UQvenE,591-452-4328,Solnechnyi
5,bscarsbrick4,jmikvWT,812-395-4728,Zhubanova
6,gjosse5,pOLxCyBpfM,729-983-9398,Tastaq
7,jfraniak6,nszGTGQfzq,691-875-8857,Ashirbek sgai
8,bdoge7,YRYA1Md,181-912-3732,Aitieva
9,rbarthelmes8,VcJsDk0Kdx,926-920-9499,Brusilovskaya
10,bpardew9,sBVRbHKUF2zL,463-217-8269,Asfen
11,keddinsa,DAZ3vZiBt46x,158-152-8537,Kuda
12,aamorb,8u2TAnzRqc7B,507-884-3774,Ankara
13,sfaraganc,QMkttRW,481-768-1481,Kurmysh
14,llukianovd,4V2G1h6W,245-130-0870,Suda
15,spharoahe,DoUFvN,533-361-6765,Olimp
16,abruckmannf,t3Jjn6,801-333-2450,Gym
17,ageillg,5FTggJB,266-115-8998,Saina
18,rcowdrayh,uyr1y4Ju,732-939-2951,Tut i tam
19,cparonii,lS1h5C0EJtJ,388-371-9652,Ozhivlenie 
20,opassej,fHYhvvpEigG,596-613-9170,I sueta
