staff_id,first_name,last_name,salary,phone_number,speciality
1,Kasper,Hugonneau,108196,397-775-5054,assintant
2,Verene,Tompkins,114497,243-193-3175,cashier
3,Mars,Uzhanov,278810,674-872-5450,admin
4,Askar,Bekbergen,74592,895-170-9558,loader
5,Free,Dotterill,200874,613-574-5474,security
6,Douglas,Kirton,229504,127-912-0008,admin
7,Isak,Kimblen,98468,236-687-0661,assintant
8,Idell,Cholmondeley,118373,812-691-6078,assintant
9,Kienan,Extill,126890,831-759-1890,security
10,Stevena,Jenkison,253211,354-973-3691,admin
11,Morry,MacMychem,175833,475-766-6027,assintant
12,Bibbye,Dowd,132795,774-956-5662,assintant
13,Martynne,Pittson,124350,456-429-2650,cashier
14,Aubert,Fernley,108601,134-409-8719,loader
15,Cilka,Kennedy,171410,455-284-9846,cashier
16,Zora,McCrann,95101,355-496-1827,loader
17,Adan,Theseira,169008,938-295-9544,cook
18,Marys,Bonaire,154390,833-724-1990,security
19,Ignatius,Dack,120140,615-418-6087,cook
20,Holly,Eveling,80759,642-877-4501,loader
